ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,7.583793,6.993376,7.826166,2.456399,13.19767,0.2791607,42.17982,24.6012,ACCELERATE
-1,6.898103,6.640679,-1,3.008058,13.22165,0.2791596,43.74807,24.7065,LEFT_ACCELERATE
-1,6.358034,6.193112,-1,3.54415,13.17284,0.2791655,45.20941,24.80477,LEFT_ACCELERATE
-1,5.973192,5.715086,-1,3.96128,12.96029,0.2791849,46.64671,24.90255,LEFT_ACCELERATE
-1,5.804259,5.310771,-1,4.181205,12.51996,0.2792091,48.03872,25.00095,LEFT_ACCELERATE
-1,5.876734,5.064528,-1,4.245758,11.76851,0.2792173,49.40382,25.10611,LEFT_ACCELERATE
-1,6.170846,5.031727,9.703272,4.186203,10.83402,0.2792194,50.51732,25.20434,LEFT_ACCELERATE
-1,6.706649,5.173433,6.765885,4.027284,9.735158,0.2792205,51.42103,25.30058,LEFT_ACCELERATE
-1,7.596104,5.520824,5.219915,3.747605,8.374763,0.2792204,52.16064,25.40549,LEFT_ACCELERATE
-1,8.680835,6.019022,4.15703,3.369082,6.986449,0.2792115,52.61224,25.50443,LEFT_ACCELERATE
-1,7.184907,6.436071,3.363199,2.87947,5.551713,0.2791915,52.87021,25.60297,ACCELERATE
-1,6.941455,6.145847,2.985128,2.389722,4.117704,0.2791658,53.11534,25.70081,RIGHT_ACCELERATE
-1,7.816711,7.097137,3.074101,2.139813,2.587986,0.2791653,53.50072,25.8068,ACCELERATE
