A,B,C,D,E,F,G,H,I,action
-1,3.044089,1.386931,8.707851,8.071174,-40.64238,0.2791597,39.30982,11.00457,LEFT_ACCELERATE
-1,3.943229,1.829848,8.31264,7.692628,-41.15477,0.2791613,37.89479,11.10568,LEFT_ACCELERATE
-1,4.717218,2.268231,7.918916,7.333552,-41.58544,0.2791622,36.50051,11.20367,ACCELERATE
-1,5.692065,2.737823,7.416352,6.921076,-42.03668,0.2791613,35.04073,11.30625,ACCELERATE
-1,6.617777,3.182751,6.939429,6.476388,-42.46252,0.2791604,33.67905,11.40203,ACCELERATE
-1,7.64044,3.674289,6.412645,5.985006,-42.93168,0.2791609,32.19049,11.50681,ACCELERATE
-1,8.608305,4.139564,5.914083,5.519811,-43.36929,0.2791597,30.80922,11.60408,ACCELERATE
-1,9.564204,4.599157,5.421649,5.06025,-43.80675,0.2791606,29.43293,11.70103,ACCELERATE
-1,-1,5.070584,4.916551,4.588832,-44.26022,0.2791599,28.00945,11.80133,LEFT_ACCELERATE
-1,-1,5.490307,4.482414,4.088885,-44.694,0.2791601,26.55885,11.90301,LEFT_ACCELERATE
-1,-1,5.690042,4.348341,3.695696,-44.99039,0.2791759,25.13847,12.0006,LEFT_ACCELERATE
-1,8.61094,5.699436,4.677948,3.519362,-45.08651,0.2791966,23.63061,12.10237,LEFT_ACCELERATE
-1,7.371165,5.571116,5.544638,3.650671,-44.9454,0.2791958,22.17735,12.2007,LEFT_ACCELERATE
-1,6.49429,5.316315,6.711512,3.997374,-44.62977,0.2791803,20.6754,12.30388,LEFT_ACCELERATE
-1,5.964023,4.992307,7.557567,4.361796,-44.28729,0.2791678,19.26626,12.40126,ACCELERATE
-1,5.231106,4.184839,8.293736,5.094196,-43.53784,0.2791597,14.88244,12.70012,ACCELERATE
-1,4.980617,3.984149,8.619461,5.294783,-43.33812,0.279161,13.40169,12.80043,ACCELERATE
-1,4.718223,3.774199,8.961048,5.504714,-43.12854,0.2791602,11.8333,12.90666,ACCELERATE
-1,6.382029,3.983729,6.682605,5.279277,-43.36909,0.2791631,4.451142,13.40619,LEFT_ACCELERATE
-1,6.288757,4.116975,6.725368,5.108301,-43.51316,0.2791626,3.044299,13.50121,LEFT_ACCELERATE
-1,6.372643,4.217527,6.647199,5.001326,-43.61432,0.2791605,1.534533,13.60281,ACCELERATE
-1,6.520706,4.316249,6.516836,4.90251,-43.71318,0.2791602,0.02549055,13.70434,ACCELERATE
-1,6.668213,4.414038,6.387013,4.804702,-43.81053,0.2791599,-1.47331,13.80517,ACCELERATE
-1,6.810785,4.508527,6.261526,4.7102,-43.90483,0.2791618,-2.933415,13.9034,ACCELERATE
-1,6.926317,4.602104,6.154681,4.614632,-43.99837,0.2791592,-4.427433,14.0039,LEFT_ACCELERATE
-1,6.638042,4.633012,6.377196,4.567761,-44.0311,0.2791615,-5.913606,14.10378,LEFT_ACCELERATE
-1,6.349425,4.584543,6.671036,4.617509,-43.97914,0.2791631,-7.364603,14.20128,ACCELERATE
-1,6.263826,4.526035,6.76092,4.676165,-43.92159,0.2791603,-8.887449,14.30359,ACCELERATE
-1,6.198026,4.477993,6.829557,4.724184,-43.87394,0.2791605,-10.36431,14.40279,ACCELERATE
-1,6.137847,4.434124,6.892314,4.768034,-43.83057,0.2791609,-11.87793,14.50445,ACCELERATE
-1,6.083315,4.394506,6.949202,4.807642,-43.79136,0.2791592,-13.37112,14.60474,ACCELERATE
-1,6.033864,4.358667,7.000802,4.843476,-43.7554,0.2791615,-14.82728,14.70252,ACCELERATE
-1,5.983657,4.322342,7.053205,4.879799,-43.71936,0.2791601,-16.35106,14.80485,ACCELERATE
-1,5.936559,4.288306,7.102374,4.913833,-43.68526,0.2791598,-17.83661,14.90461,ACCELERATE
-1,5.897497,4.25555,7.109759,4.946591,-43.65216,0.2791596,-19.30847,15.00344,ACCELERATE
