A,B,C,D,E,F,G,H,I,action
-1,3.196648,1.828165,8.704583,7.406739,-33.65612,0.2791606,51.78321,10.2014,ACCELERATE
-1,4.332411,2.029034,8.193369,7.287926,-35.02129,0.2791604,51.09308,10.30412,LEFT_ACCELERATE
-1,5.477606,2.268378,7.874018,7.077642,-36.30043,0.2791696,50.33142,10.40421,LEFT_ACCELERATE
-1,5.489547,2.431329,7.779609,6.877387,-37.44339,0.2791927,49.43026,10.50221,LEFT_ACCELERATE
-1,4.634804,2.469013,7.983065,6.76953,-38.42589,0.2792147,48.32986,10.60168,LEFT_ACCELERATE
-1,3.865137,2.384495,8.402335,6.816707,-39.21115,0.2792091,47.01592,10.70497,LEFT_ACCELERATE
-1,3.4092,2.228158,8.760721,6.969756,-39.76564,0.2791926,45.6713,10.80291,LEFT_ACCELERATE
-1,3.118391,2.068515,8.996222,7.133214,-40.21095,0.2791851,44.24077,10.90363,LEFT_ACCELERATE
-1,2.693325,1.883488,9.445773,7.323516,-40.48625,0.2791844,42.80722,11.00185,LEFT_ACCELERATE
-1,2.429919,1.687962,9.672843,7.511003,-40.65141,0.2791747,41.35248,11.1002,LEFT_ACCELERATE
-1,2.457664,1.59139,9.551144,7.608177,-40.81592,0.279166,39.84534,11.20202,ACCELERATE
-1,2.772939,1.654634,9.308106,7.589886,-41.01575,0.2791615,38.33092,11.30459,ACCELERATE
-1,3.154177,1.847494,9.037063,7.466535,-41.23335,0.2791614,36.84598,11.40535,ACCELERATE
-1,3.531481,2.067914,8.769712,7.267003,-41.45249,0.2791606,35.43548,11.50118,ACCELERATE
-1,3.942124,2.309349,8.480228,7.025022,-41.68937,0.2791602,33.96259,11.60134,LEFT_ACCELERATE
-1,4.116202,2.512331,8.426072,6.773396,-41.89831,0.2791614,32.46693,11.70277,LEFT_ACCELERATE
-1,4.187505,2.642038,8.440395,6.61119,-42.03436,0.2791612,30.97896,11.8031,ACCELERATE
-1,5.40549,3.231607,7.444602,6.07759,-42.60624,0.2791606,26.53913,12.1038,ACCELERATE
-1,5.725729,3.45121,7.207309,5.848433,-42.82571,0.2791601,25.11837,12.20032,LEFT_ACCELERATE
-1,5.560221,3.586618,7.344008,5.648745,-42.97801,0.279165,23.60896,12.30228,LEFT_ACCELERATE
-1,5.11336,3.579715,7.870617,5.620741,-42.97626,0.2791696,22.12919,12.40176,LEFT_ACCELERATE
-1,4.904758,3.513794,8.149805,5.687002,-42.90995,0.2791645,20.60203,12.50441,ACCELERATE
-1,4.83148,3.461184,8.224918,5.739609,-42.85823,0.2791612,19.1435,12.60239,ACCELERATE
-1,4.774201,3.419469,8.282969,5.7813,-42.81736,0.2791614,17.66682,12.70157,ACCELERATE
-1,4.727856,3.385837,8.330026,5.814915,-42.78373,0.2791602,16.17692,12.80162,ACCELERATE
-1,4.686643,3.356054,8.371991,5.844689,-42.75396,0.2791606,14.62366,12.90592,ACCELERATE
-1,4.651991,3.331094,8.407357,5.869644,-42.72931,0.2791604,13.16922,13.00358,ACCELERATE
-1,4.619857,3.308005,8.440216,5.892731,-42.70655,0.2791599,11.70283,13.10203,ACCELERATE
-1,4.588889,3.285793,8.471932,5.91494,-42.68436,0.2791602,10.17795,13.20442,ACCELERATE
-1,4.561149,3.265925,8.500373,5.934809,-42.66432,0.2791599,8.737185,13.30115,ACCELERATE
-1,4.533,3.245782,8.529258,5.954953,-42.64445,0.2791601,7.263554,13.40009,ACCELERATE
-1,4.504375,3.225311,8.55865,5.975424,-42.62389,0.2791599,5.705861,13.50468,ACCELERATE
-1,4.477459,3.206073,8.5863,5.994665,-42.60477,0.2791611,4.236133,13.60336,ACCELERATE
-1,4.450045,3.186483,8.61447,6.014255,-42.58528,0.2791601,2.72351,13.70492,ACCELERATE
-1,4.424234,3.168041,8.641003,6.032698,-42.56651,0.2791607,1.258528,13.80328,ACCELERATE
-1,4.398104,3.149375,8.667868,6.051366,-42.54807,0.2791599,-0.1857189,13.90024,ACCELERATE
-1,4.371284,3.130217,8.695446,6.070526,-42.52889,0.2791601,-1.691354,14.00133,ACCELERATE
-1,4.345035,3.111467,8.72244,6.089278,-42.51002,0.2791603,-3.174123,14.10088,ACCELERATE
-1,4.318202,3.092301,8.750037,6.108446,-42.49099,0.2791591,-4.668637,14.20123,ACCELERATE
-1,4.291777,3.073425,8.77722,6.127323,-42.47211,0.2791609,-6.151876,14.30081,ACCELERATE
-1,4.264876,3.054209,8.804892,6.146541,-42.45278,0.2791597,-7.670142,14.40275,ACCELERATE
-1,4.237879,3.034925,8.832664,6.165827,-42.43335,0.2791602,-9.194483,14.5051,ACCELERATE
-1,4.211134,3.01582,8.86018,6.184934,-42.41441,0.2791602,-10.67935,14.60479,ACCELERATE
-1,4.07513,2.981246,9.117888,6.224259,-42.376,0.2791603,-12.14023,14.70293,LEFT_ACCELERATE
-1,3.663002,2.857185,-1,6.391585,-42.23067,0.279167,-13.5828,14.8004,LEFT_ACCELERATE
-1,3.270339,2.625071,-1,6.658603,-41.98852,0.2791636,-15.10878,14.90415,ACCELERATE
-1,2.888645,2.245519,-1,6.999777,-41.62623,0.2791609,-18.06426,15.10413,ACCELERATE
-1,2.694577,2.094317,-1,7.150818,-41.476,0.2791612,-19.55012,15.2044,ACCELERATE
-1,2.500415,1.943394,-1,7.301734,-41.32538,0.2791609,-21.04957,15.30557,ACCELERATE
-1,2.317134,1.792932,-1,7.454386,-41.17238,0.2791598,-22.53607,15.4059,LEFT_ACCELERATE
-1,2.121836,1.615126,-1,7.622765,-40.97397,0.2791605,-23.9383,15.50101,LEFT_ACCELERATE
-1,2.072408,1.478498,9.917725,7.72557,-40.74395,0.2791607,-25.40172,15.60046,ACCELERATE
-1,2.242866,1.457228,9.468987,7.745944,-40.50829,0.2791611,-26.93168,15.70439,LEFT_ACCELERATE
-1,2.452802,1.512236,9.209318,7.699615,-40.2439,0.2791619,-28.3448,15.80097,LEFT_ACCELERATE
-1,2.588941,1.559374,9.076197,7.663881,-39.82262,0.2791679,-29.83177,15.90487,LEFT_ACCELERATE
-1,3.069916,1.661997,8.721941,7.598392,-39.36819,0.2791659,-31.18051,16.00043,LEFT_ACCELERATE
-1,3.760499,1.845946,8.399896,7.455714,-38.80946,0.2791673,-32.61074,16.10362,LEFT_ACCELERATE
-1,4.147297,1.99731,8.247565,7.304709,-38.10904,0.2791775,-33.93979,16.20469,LEFT_ACCELERATE
-1,5.251648,2.180771,7.946825,7.165222,-37.33941,0.2791744,-35.15411,16.30127,LEFT_ACCELERATE
-1,6.216039,2.391975,7.718235,6.967843,-36.44744,0.2791791,-36.34526,16.40135,LEFT_ACCELERATE
-1,5.524143,2.51601,7.724369,6.779016,-35.35576,0.2792026,-37.4341,16.50522,LEFT_ACCELERATE
-1,4.485957,2.50362,8.038701,6.725924,-34.13199,0.279217,-38.26755,16.6051,LEFT_ACCELERATE
-1,3.655883,2.367389,8.607519,6.840386,-32.81883,0.2792175,-38.83932,16.70184,LEFT_ACCELERATE
-1,3.002781,2.138176,8.287413,7.100255,-31.40757,0.2792031,-39.19495,16.80009,LEFT_ACCELERATE
-1,2.526528,1.850394,6.098634,5.244015,-29.91117,0.2791843,-39.39994,16.90172,LEFT_ACCELERATE
-1,2.296523,1.619153,5.217898,4.343802,-28.43315,0.279172,-39.54782,17.00148,ACCELERATE
-1,2.373242,1.534794,5.220783,4.344942,-26.9215,0.279163,-39.73009,17.10374,ACCELERATE
-1,2.69157,1.607027,5.236759,4.3603,-25.42252,0.2791628,-39.94216,17.20539,ACCELERATE
-1,3.069259,1.784305,5.245868,4.369112,-24.02238,0.2791611,-40.15766,17.3005,ACCELERATE
-1,3.500775,2.034618,5.251987,4.375025,-22.50089,0.2791596,-40.40384,17.40397,ACCELERATE
-1,3.933329,2.285649,5.255526,4.37846,-21.04004,0.2791606,-40.64788,17.5034,ACCELERATE
-1,4.368971,2.538561,5.257598,4.380476,-19.58427,0.2791589,-40.89594,17.60254,ACCELERATE
-1,4.818795,2.799766,5.258752,4.381613,-18.12527,0.2791602,-41.14771,17.70194,ACCELERATE
-1,5.265292,3.064959,5.219896,4.343518,-16.60539,0.27916,-41.41127,17.80551,LEFT_ACCELERATE
-1,-1,-1,4.152586,3.336344,-15.20497,0.2791613,-41.60984,17.90053,LEFT_ACCELERATE
-1,-1,-1,2.224819,1.681433,-13.6949,0.2791671,-41.69725,18.00218,LEFT_ACCELERATE
-1,-1,-1,1.772834,1.321097,-12.20078,0.2791626,-41.73125,18.10253,ACCELERATE
-1,-1,-1,1.776446,1.323844,-10.69518,0.2791609,-41.77736,18.20366,ACCELERATE
-1,-1,-1,1.78178,1.328013,-9.213754,0.2791601,-41.83248,18.30319,ACCELERATE
-1,-1,-1,1.461028,1.078474,-7.678702,0.2791598,-41.88674,18.40632,LEFT_ACCELERATE
-1,-1,-1,1.061263,0.7742189,-6.267532,0.2791664,-41.85666,18.50119,LEFT_ACCELERATE
-1,-1,-1,3.280841,2.563768,-4.761635,0.27917,-41.67556,18.60315,LEFT_ACCELERATE
-1,-1,-1,3.854616,3.066548,-3.313535,0.2791642,-41.44604,18.7016,ACCELERATE
-1,-1,-1,3.902172,2.976227,-1.84328,0.2791616,-41.22707,18.80139,LEFT_ACCELERATE
-1,-1,-1,4.390909,2.881083,-0.3850752,0.2791613,-40.97108,18.90085,LEFT_ACCELERATE
-1,8.372436,-1,4.102601,2.753632,1.051568,0.2791713,-40.57343,19.00111,LEFT_ACCELERATE
-1,8.335102,6.588904,4.064641,2.6306,2.447641,0.2791711,-40.06852,19.10082,LEFT_ACCELERATE
-1,8.356329,6.670022,3.984745,2.540388,3.804583,0.2791719,-39.48298,19.20017,LEFT_ACCELERATE
-1,8.700332,6.821008,3.529052,2.386297,5.138499,0.2791966,-38.69115,19.30461,LEFT_ACCELERATE
-1,9.364629,7.103354,2.874036,2.145696,6.231664,0.2792093,-37.75179,19.40178,LEFT_ACCELERATE
-1,-1,7.510755,2.247279,1.775889,7.22133,0.2791983,-36.57164,19.50552,LEFT_ACCELERATE
-1,-1,7.901077,1.72349,1.384281,8.027515,0.2791889,-35.35138,19.6039,LEFT_ACCELERATE
-1,-1,8.31484,1.19634,0.9693115,8.710176,0.279186,-34.01609,19.70477,LEFT_ACCELERATE
-1,-1,8.613614,0.801339,0.6227627,9.299744,0.2791719,-32.68809,19.80235,LEFT_ACCELERATE
-1,-1,8.62843,0.8466295,0.571957,10.0514,0.2791629,-31.37852,19.90409,ACCELERATE
-1,9.837824,8.522486,1.202635,0.7191659,10.78958,0.2791614,-30.14927,20.00037,ACCELERATE
-1,9.200197,8.327719,1.98535,1.019517,11.57255,0.279159,-28.81439,20.10427,LEFT_ACCELERATE
-1,8.756502,8.042417,2.887027,1.363906,12.24116,0.2791632,-27.55107,20.20032,LEFT_ACCELERATE
-1,8.428929,7.737052,3.647716,1.690744,12.81667,0.2791682,-26.17216,20.30075,LEFT_ACCELERATE
-1,7.926257,7.440686,4.857238,2.110633,13.34759,0.2791643,-24.75023,20.40267,ACCELERATE
-1,7.34856,7.081611,6.201807,2.635919,13.87571,0.2791612,-23.36244,20.50236,ACCELERATE
-1,6.762046,6.630341,7.568344,3.215873,14.4148,0.2791598,-21.96917,20.60265,ACCELERATE
-1,6.209081,6.110923,8.767465,3.770202,14.93873,0.27916,-20.61676,20.70002,LEFT_ACCELERATE
-1,5.835816,5.473852,8.827728,4.204097,15.42041,0.2791643,-19.17278,20.80231,LEFT_ACCELERATE
-1,5.611726,5.006673,8.626336,4.50323,15.77571,0.2791658,-17.70844,20.90355,LEFT_ACCELERATE
-1,5.251594,4.655151,9.162925,4.836071,16.10459,0.2791628,-16.2438,21.00433,ACCELERATE
-1,4.864743,4.312821,9.814506,5.178786,16.44148,0.2791604,-14.80727,21.10339,ACCELERATE
-1,4.458616,3.95183,-1,5.539103,16.7871,0.2791595,-13.37329,21.20242,LEFT_ACCELERATE
-1,4.176184,3.593894,-1,5.82028,17.10327,0.2791623,-11.9267,21.30187,LEFT_ACCELERATE
-1,4.173318,3.341875,9.680606,5.938488,17.29464,0.2791685,-10.43127,21.40325,LEFT_ACCELERATE
-1,4.185678,3.231787,9.355136,6.007,17.38661,0.2791664,-8.92876,21.50434,LEFT_ACCELERATE
-1,4.066953,3.137262,9.490667,6.100694,17.48156,0.2791621,-7.428095,21.60529,ACCELERATE
-1,3.926672,3.029696,9.660786,6.208454,17.58904,0.2791615,-5.957806,21.70426,ACCELERATE
-1,3.779595,2.916651,9.838659,6.321636,17.70203,0.2791607,-4.533387,21.80019,ACCELERATE
-1,3.61221,2.787754,-1,6.450621,17.83174,0.2791608,-2.979032,21.90491,ACCELERATE
-1,3.447834,2.661041,-1,6.577385,17.95659,0.2791608,-1.530894,22.00249,ACCELERATE
-1,3.281082,2.532419,-1,6.706034,18.08587,0.2791603,-0.06152146,22.10152,ACCELERATE
-1,3.109904,2.400339,-1,6.83813,18.21633,0.2791604,1.401608,22.20013,ACCELERATE
